cluster_id,anchor_building_id,anchor_property_type,member_count,total_buildings,total_sqft,total_thermal_load_mmbtu,total_cooling_load_tons,avg_distance_m,max_distance_m,epb_count,epb_percentage,total_penalty_exposure,opt_in_count,high_thermal_demand_count,property_type_diversity,members,thermal_diversity_score,economic_potential_score
cluster_4141,4141,Multifamily Housing,24,25,1580369.0,81556.82913,3950.9225,320.8590059045783,493.9820624333475,18,72.0,11037509.227500001,0,20,5,"[{'building_id': '5420', 'distance_m': 92.97707472934651, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '4124', 'distance_m': 265.7775974542772, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '4125', 'distance_m': 265.7775974542772, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '4126', 'distance_m': 265.7775974542772, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '4127', 'distance_m': 265.7775974542772, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '4128', 'distance_m': 265.7775974542772, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '4129', 'distance_m': 265.7775974542772, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '4130', 'distance_m': 265.7775974542772, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '4131', 'distance_m': 265.7775974542772, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '4132', 'distance_m': 265.7775974542772, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '4133', 'distance_m': 265.7775974542772, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '4134', 'distance_m': 265.7775974542772, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '4135', 'distance_m': 265.7775974542772, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '4136', 'distance_m': 265.7775974542772, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '4150', 'distance_m': 329.39117865955853, 'property_type': 'Office', 'is_epb': False}, {'building_id': '4149', 'distance_m': 343.9029095500393, 'property_type': 'Medical Office', 'is_epb': False}, {'building_id': '5796', 'distance_m': 376.9705305176171, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '5683', 'distance_m': 416.4918211182359, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '5797', 'distance_m': 417.37213315265905, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '4151', 'distance_m': 420.17892744429355, 'property_type': 'Self-Storage Facility', 'is_epb': False}, {'building_id': '5886', 'distance_m': 430.01943212145636, 'property_type': 'Self-Storage Facility', 'is_epb': False}, {'building_id': '4159', 'distance_m': 460.77244121869154, 'property_type': 'MIXED USE PROPERTY', 'is_epb': False}, {'building_id': '5798', 'distance_m': 463.4488638590299, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '5799', 'distance_m': 493.9820624333475, 'property_type': 'Multifamily Housing', 'is_epb': True}]",0.0,90.0
cluster_3740,3740,Multifamily Housing,10,11,1075514.0,54998.01600999999,2688.785,242.9832614440358,462.15521640902017,5,45.45454545454545,7242141.42,0,2,7,"[{'building_id': '3737', 'distance_m': 54.175703062453714, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '3741', 'distance_m': 83.11536943838067, 'property_type': 'Strip Mall', 'is_epb': False}, {'building_id': '4594', 'distance_m': 108.73162666346097, 'property_type': 'Retail Store', 'is_epb': False}, {'building_id': '3736', 'distance_m': 156.6138781749747, 'property_type': 'Office', 'is_epb': False}, {'building_id': '4597', 'distance_m': 206.0818546071606, 'property_type': 'Office', 'is_epb': False}, {'building_id': '3742', 'distance_m': 254.46475847590943, 'property_type': 'Fitness Center/Health Club/Gym', 'is_epb': True}, {'building_id': '4598', 'distance_m': 318.33611663525795, 'property_type': 'Retail Store', 'is_epb': True}, {'building_id': '3743', 'distance_m': 381.48715374809876, 'property_type': 'Fitness Center/Health Club/Gym', 'is_epb': True}, {'building_id': '3723', 'distance_m': 404.6709372256411, 'property_type': 'K-12 School', 'is_epb': False}, {'building_id': '4595', 'distance_m': 462.15521640902017, 'property_type': 'Senior Living Community', 'is_epb': True}]",0.0,88.18181818181819
cluster_3213,3213,Multifamily Housing,10,11,988574.0,40702.91931999999,2471.435,230.0443082974857,381.30369447364046,5,45.45454545454545,3504214.1936999997,0,4,7,"[{'building_id': '3216', 'distance_m': 136.4425426702546, 'property_type': 'K-12 School', 'is_epb': False}, {'building_id': '3203', 'distance_m': 178.47575543554072, 'property_type': 'other - recreation', 'is_epb': False}, {'building_id': '6295', 'distance_m': 194.29852427710867, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '6267', 'distance_m': 199.85722197456417, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '3214', 'distance_m': 209.45791194224648, 'property_type': 'Office', 'is_epb': False}, {'building_id': '5999', 'distance_m': 213.37252353471956, 'property_type': 'Urgent Care/Clinic/Other Outpatient', 'is_epb': False}, {'building_id': '3217', 'distance_m': 223.03516663602812, 'property_type': 'Outpatient Rehabilitation/Physical Therapy', 'is_epb': False}, {'building_id': '6268', 'distance_m': 251.75068394119432, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '5555', 'distance_m': 312.44905808955997, 'property_type': 'Non-Refrigerated Warehouse', 'is_epb': False}, {'building_id': '3219', 'distance_m': 381.30369447364046, 'property_type': 'Non-Refrigerated Warehouse', 'is_epb': True}]",0.0,83.18181818181819
cluster_2134,2134,K-12 School,8,9,509063.0,24492.700469999996,1272.6575,309.5554849051788,444.8031435376641,4,44.44444444444444,4455738.211199999,0,3,5,"[{'building_id': '2135', 'distance_m': 41.19778293316255, 'property_type': 'K-12 School', 'is_epb': False}, {'building_id': '2136', 'distance_m': 262.00834981092015, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '5916', 'distance_m': 285.1967335585694, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '2137', 'distance_m': 299.4485007922836, 'property_type': 'Strip Mall', 'is_epb': False}, {'building_id': '2139', 'distance_m': 299.5010256659706, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2132', 'distance_m': 414.67122470016955, 'property_type': 'MIXED USE PROPERTY', 'is_epb': True}, {'building_id': '2133', 'distance_m': 429.6171182426901, 'property_type': 'K-12 School', 'is_epb': False}, {'building_id': '2138', 'distance_m': 444.8031435376641, 'property_type': 'Office', 'is_epb': True}]",0.0,80.77777777777777
cluster_2666,2666,Office,30,31,5058755.0,182821.17098,12646.8875,336.6535735328311,489.62136693647557,8,25.806451612903224,8761163.084999999,0,22,6,"[{'building_id': '5664', 'distance_m': 54.857868079925034, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '6120', 'distance_m': 64.334837878579, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '5717', 'distance_m': 87.70746970314019, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2665', 'distance_m': 115.92994152774659, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2673', 'distance_m': 118.07476719443785, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2671', 'distance_m': 157.05743073967994, 'property_type': 'Office', 'is_epb': False}, {'building_id': '2662', 'distance_m': 228.29418461714835, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2689', 'distance_m': 316.8423540230561, 'property_type': 'Office', 'is_epb': False}, {'building_id': '5865', 'distance_m': 317.72887936329954, 'property_type': 'Office', 'is_epb': False}, {'building_id': '2532', 'distance_m': 320.62261631564525, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '6012', 'distance_m': 327.73515753793896, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2685', 'distance_m': 342.5503327165998, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2534', 'distance_m': 346.1299714857174, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '2521', 'distance_m': 360.5474373331908, 'property_type': 'K-12 School', 'is_epb': False}, {'building_id': '2678', 'distance_m': 361.05433277901915, 'property_type': 'Office', 'is_epb': False}, {'building_id': '2682', 'distance_m': 368.3542198351883, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '5864', 'distance_m': 399.3624620378538, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2524', 'distance_m': 405.9443261144486, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '5862', 'distance_m': 417.8507107891304, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2531', 'distance_m': 418.9723512480454, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '2679', 'distance_m': 422.8221149040211, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2660', 'distance_m': 427.16837454160844, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '2528', 'distance_m': 432.80880657117956, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '2696', 'distance_m': 434.7449544397025, 'property_type': 'Mixed Use Property', 'is_epb': False}, {'building_id': '2681', 'distance_m': 457.70273059829526, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '5459', 'distance_m': 464.84660474833754, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2680', 'distance_m': 465.95622197827964, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '5510', 'distance_m': 485.09795290597594, 'property_type': 'Senior Living Community', 'is_epb': True}, {'building_id': '6225', 'distance_m': 488.8864270412672, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '6289', 'distance_m': 489.62136693647557, 'property_type': 'Residential Care Facility', 'is_epb': True}]",0.0,80.32258064516128
cluster_3989,3989,Multifamily Housing,8,9,1659851.0,143842.39941,4149.6275000000005,302.80014425800607,395.8914827925959,3,33.33333333333333,18543262.993800003,0,4,4,"[{'building_id': '5442', 'distance_m': 153.34286585616798, 'property_type': 'Medical Office', 'is_epb': False}, {'building_id': '3984', 'distance_m': 237.08838927507213, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '3992', 'distance_m': 250.74764586547593, 'property_type': 'Worship Facility', 'is_epb': False}, {'building_id': '3985', 'distance_m': 320.88816656992935, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '3983', 'distance_m': 349.815710761546, 'property_type': 'Hospital (General Medical & Surgical)', 'is_epb': False}, {'building_id': '5439', 'distance_m': 352.74114938074206, 'property_type': 'Medical Office', 'is_epb': False}, {'building_id': '5437', 'distance_m': 361.8857435625192, 'property_type': 'Medical Office', 'is_epb': False}, {'building_id': '5541', 'distance_m': 395.8914827925959, 'property_type': 'Multifamily Housing', 'is_epb': False}]",0.0,79.33333333333333
cluster_3197,3197,Manufacturing/Industrial Plant,8,9,736143.0,28468.94575,1840.3575,346.2639132719756,472.3583459260031,7,77.77777777777779,2451356.745,0,6,3,"[{'building_id': '3195', 'distance_m': 205.69473363648567, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '3196', 'distance_m': 239.36165032388817, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '3192', 'distance_m': 273.24120273978866, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '5869', 'distance_m': 350.09729919392106, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '6246', 'distance_m': 366.66608992338695, 'property_type': 'Office', 'is_epb': True}, {'building_id': '5139', 'distance_m': 430.5036739675564, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '3194', 'distance_m': 432.1883104647747, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '3199', 'distance_m': 472.3583459260031, 'property_type': 'Office', 'is_epb': False}]",0.0,79.0
cluster_6011,6011,Multifamily Housing,6,7,695512.0,38401.0977,1738.78,396.0004086668755,487.0684913928262,3,42.857142857142854,7465872.3324,0,2,5,"[{'building_id': '3155', 'distance_m': 201.54825128717715, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '6119', 'distance_m': 316.7829285050913, 'property_type': 'Office', 'is_epb': False}, {'building_id': '3158', 'distance_m': 419.3439856192126, 'property_type': 'Laboratory', 'is_epb': True}, {'building_id': '3174', 'distance_m': 470.82683673839927, 'property_type': 'Wholesale Club/Supercenter', 'is_epb': False}, {'building_id': '3159', 'distance_m': 480.4319584585463, 'property_type': 'Office', 'is_epb': True}, {'building_id': '3172', 'distance_m': 487.0684913928262, 'property_type': 'Manufacturing/Industrial Plant', 'is_epb': False}]",0.0,78.14285714285714
cluster_2356,2356,Multifamily Housing,11,12,1759439.0,59532.33516999999,4398.5975,235.6916345068086,456.5898484586746,3,25.0,4689393.288,0,8,4,"[{'building_id': '2359', 'distance_m': 74.13713118699158, 'property_type': 'Office', 'is_epb': False}, {'building_id': '5854', 'distance_m': 99.68957138107722, 'property_type': 'MOVIE THEATER', 'is_epb': False}, {'building_id': '6257', 'distance_m': 120.92990190795923, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '5631', 'distance_m': 142.60089453675212, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2355', 'distance_m': 198.24322586389653, 'property_type': 'K-12 School', 'is_epb': False}, {'building_id': '2354', 'distance_m': 212.29306661725806, 'property_type': 'K-12 School', 'is_epb': True}, {'building_id': '6258', 'distance_m': 269.43889753527554, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '6198', 'distance_m': 283.7525584879053, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '5912', 'distance_m': 287.23718689232027, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '3226', 'distance_m': 447.6956967067841, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '6028', 'distance_m': 456.5898484586746, 'property_type': 'Multifamily Housing', 'is_epb': False}]",0.0,78.0
cluster_5613,5613,Medical Office,25,26,2948493.0,220066.43374,7371.2325,325.9834239157095,484.9187114897781,5,19.230769230769234,10439426.351400005,0,18,7,"[{'building_id': '2745', 'distance_m': 120.6018553351692, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '6169', 'distance_m': 192.45965639982066, 'property_type': 'Medical Office', 'is_epb': False}, {'building_id': '2740', 'distance_m': 198.124358063227, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '2522', 'distance_m': 201.99890856011177, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2749', 'distance_m': 227.0674047810017, 'property_type': 'Medical Office', 'is_epb': False}, {'building_id': '2742', 'distance_m': 241.68039999681145, 'property_type': 'Hotel', 'is_epb': False}, {'building_id': '5990', 'distance_m': 265.73243590787933, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2739', 'distance_m': 281.7466472616479, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '5821', 'distance_m': 282.63096288406075, 'property_type': 'Hospital (General Medical & Surgical)', 'is_epb': False}, {'building_id': '2744', 'distance_m': 290.7752702201663, 'property_type': 'Multifamily Housing', 'is_epb': True}, {'building_id': '2752', 'distance_m': 314.82706329352516, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2741', 'distance_m': 316.7371065412311, 'property_type': 'Supermarket/Grocery Store', 'is_epb': False}, {'building_id': '5817', 'distance_m': 317.7184634271931, 'property_type': 'Medical Office', 'is_epb': False}, {'building_id': '6170', 'distance_m': 324.91589958867405, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2736', 'distance_m': 327.5527231348882, 'property_type': 'Residential Care Facility', 'is_epb': True}, {'building_id': '2750', 'distance_m': 349.60793277710025, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '6171', 'distance_m': 362.4316308743101, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '6105', 'distance_m': 383.16666641800873, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2753', 'distance_m': 383.8139469069332, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2751', 'distance_m': 415.468279962072, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2757', 'distance_m': 448.5862526646651, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2743', 'distance_m': 467.0482412167863, 'property_type': 'Other - Specialty Hospital', 'is_epb': False}, {'building_id': '2970', 'distance_m': 474.06678410240977, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2758', 'distance_m': 475.907996085267, 'property_type': 'Multifamily Housing', 'is_epb': False}, {'building_id': '2738', 'distance_m': 484.9187114897781, 'property_type': 'Multifamily Housing', 'is_epb': False}]",0.0,77.6923076923077
